                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1992,                 4.3195,                 3.5418,                 0.0014,                0.07143,                0.00172,                0.00017,                 4.5551,                 4.3845,                 3.5399,               0.096408,               0.000408,               0.000408
                      2,                 3.5767,                  3.945,                 2.7271,                0.00636,                0.45238,                0.01247,                0.00303,                 3.2352,                 3.8805,                 2.6457,               0.091913,             0.00091347,             0.00091347
                      3,                 2.8143,                 3.0601,                 1.9332,                0.02972,                0.09524,                0.01304,                 0.0022,                 3.7959,                 6.4091,                  13.58,               0.087414,              0.0014139,              0.0014139
                      4,                 2.6151,                  2.814,                  1.841,                0.50712,                0.07143,                0.00449,                0.00131,                 3.8066,                 16.277,                 19.527,               0.082909,              0.0019093,              0.0019093
                      5,                 2.4123,                 2.4978,                 1.6369,                0.57182,                0.35714,                0.08587,                0.02931,                  3.242,                  16.34,                 21.086,                 0.0784,              0.0023996,              0.0023996
                      6,                 2.3801,                   2.47,                 1.6436,                 0.0322,                0.04762,                0.01024,                0.00407,                  3.903,                 13.524,                 12.925,               0.073885,              0.0028849,              0.0028849
                      7,                  2.367,                 2.3006,                 1.6048,                0.00339,                0.19048,                0.00294,                 0.0008,                 3.6704,                    inf,                 28.561,               0.069365,              0.0033652,              0.0033652
                      8,                 2.3098,                 2.3949,                   1.62,                0.00034,                0.02381,                0.00021,                  4e-05,                 3.2825,                    inf,                 13.862,                0.06484,              0.0038404,              0.0038404
                      9,                 2.4123,                  2.386,                 1.6294,                0.00579,                0.11905,                0.00271,                0.00098,                 3.8784,                 293.85,                  19.98,               0.060311,              0.0043106,              0.0043106
                     10,                 2.3142,                 2.4499,                 1.6075,                0.00556,                 0.2381,                 0.0068,                0.00159,                 3.7877,                    inf,                 29.223,               0.055776,              0.0047758,              0.0047758
                     11,                 2.3232,                 2.4983,                 1.6478,                 0.0642,                0.36905,                0.09443,                0.02623,                 3.1045,                 152.32,                 10.834,               0.051236,              0.0052359,              0.0052359
                     12,                 2.1768,                 2.3344,                 1.6038,                  0.075,                0.28571,                0.09547,                 0.0221,                 3.0665,                 84.387,                 6.0919,               0.046691,               0.005691,               0.005691
                     13,                 2.2075,                 2.3466,                 1.5422,                0.06522,                0.07143,                  0.066,                0.02133,                 2.9231,                 58.632,                  4.667,               0.042141,               0.006141,               0.006141
                     14,                 2.1115,                 2.2145,                 1.4839,                0.04562,                0.14286,                0.05292,                0.00875,                 3.4397,                 32.688,                 4.2744,               0.037586,               0.006586,               0.006586
                     15,                 2.1199,                 2.0699,                 1.4915,                0.58333,                0.07143,                 0.0467,                0.00944,                 3.1761,                 29.814,                 4.1073,               0.033026,               0.007026,               0.007026
                     16,                 2.0004,                 2.0892,                 1.4023,                0.01448,                0.07143,                0.01048,                 0.0042,                  2.654,                  29.94,                 3.8492,               0.028461,              0.0074609,              0.0074609
                     17,                  1.924,                 1.9722,                 1.4014,                0.01613,                0.13095,                0.01589,                 0.0025,                 3.2961,                 76.024,                 4.5438,               0.023891,              0.0078908,              0.0078908
                     18,                 2.0094,                 2.0153,                 1.4059,                0.00985,                0.27381,                0.00693,                0.00235,                 3.3556,                 211.94,                  5.244,               0.019316,              0.0083157,              0.0083157
                     19,                 1.9937,                 1.9403,                 1.3749,                0.02137,                 0.2619,                0.01794,                0.00508,                 3.2146,                 120.43,                 4.1545,               0.014735,              0.0087355,              0.0087355
                     20,                 2.1287,                 2.0918,                 1.4254,                0.65266,                0.14286,                0.08556,                0.02729,                 3.3029,                 7.2494,                 3.5695,                0.01015,              0.0091502,              0.0091502
                     21,                 2.0212,                 2.0402,                  1.396,                0.58991,                0.14286,                 0.0997,                 0.0319,                 2.9263,                 4.4198,                 2.7073,              0.0091923,              0.0091923,              0.0091923
                     22,                 1.9228,                 1.9213,                 1.3736,                 0.1348,                0.09524,                0.08715,                0.02909,                 2.6744,                  5.155,                 2.6245,              0.0091419,              0.0091419,              0.0091419
                     23,                 1.9131,                 1.9871,                 1.4566,                0.08726,                0.35714,                0.08323,                0.01859,                 2.6623,                 26.575,                 3.9015,              0.0090915,              0.0090915,              0.0090915
                     24,                 1.9165,                 1.9717,                 1.4327,                 0.0589,                0.32143,                 0.0712,                0.02016,                 2.6902,                   11.9,                 2.5251,              0.0090411,              0.0090411,              0.0090411
                     25,                 1.8905,                 1.9086,                 1.3499,                0.08528,                0.17639,                0.06068,                0.01006,                 3.0592,                 8.6267,                 3.5056,              0.0089907,              0.0089907,              0.0089907
                     26,                 1.9006,                 1.9527,                  1.318,                0.15576,                0.34524,                0.16548,                0.05435,                  2.408,                 14.393,                 2.2878,              0.0089403,              0.0089403,              0.0089403
                     27,                 1.9583,                  1.995,                 1.4004,                0.08586,                0.21429,                0.07746,                0.03746,                 2.9396,                 8.5771,                 2.6418,                0.00889,                0.00889,                0.00889
                     28,                 2.0147,                 2.0105,                 1.3826,                0.06838,                0.19048,                0.04879,                0.01397,                 2.8326,                 4.4781,                 2.0959,              0.0088396,              0.0088396,              0.0088396
                     29,                 1.9289,                 1.9421,                 1.3914,                0.06276,                0.45238,                0.06597,                0.02354,                 2.6695,                 8.8168,                 2.7932,              0.0087892,              0.0087892,              0.0087892
                     30,                 1.8126,                 1.7807,                  1.374,                0.08046,                0.57143,                0.08575,                0.02718,                 2.8401,                 8.6272,                 3.7014,              0.0087388,              0.0087388,              0.0087388
                     31,                 1.8465,                 1.7508,                 1.2953,                0.25371,                0.33333,                0.15004,                0.04295,                 2.5694,                 23.576,                  2.603,              0.0086884,              0.0086884,              0.0086884
                     32,                 1.9157,                 1.8841,                 1.3309,                 0.0576,                0.20238,                0.04164,                0.01129,                  2.589,                 12.523,                 2.0082,               0.008638,               0.008638,               0.008638
                     33,                 1.7755,                 1.7529,                 1.3067,                0.56122,                0.11905,                0.04419,                0.01815,                 2.3013,                 9.7108,                 1.8073,              0.0085876,              0.0085876,              0.0085876
                     34,                 1.7909,                 1.7419,                 1.2676,                0.58832,                0.09524,                0.05943,                0.02423,                 2.3523,                 9.6561,                 1.7401,              0.0085372,              0.0085372,              0.0085372
                     35,                 1.7142,                 1.6761,                 1.2558,                 0.6456,                0.07143,                0.05029,                0.02372,                 2.5399,                 13.652,                 1.8711,              0.0084869,              0.0084869,              0.0084869
                     36,                 1.6991,                 1.6879,                 1.2804,                0.62704,                0.07312,                0.08628,                0.03358,                 2.3768,                 9.8921,                 1.8996,              0.0084365,              0.0084365,              0.0084365
                     37,                 1.6252,                 1.6441,                 1.2483,                0.62877,                 0.2619,                0.14251,                0.06424,                 2.2752,                 4.9508,                 1.9266,              0.0083861,              0.0083861,              0.0083861
                     38,                 1.6377,                 1.6959,                 1.2674,                0.65874,                0.19048,                0.14484,                0.06349,                 2.3557,                 3.5642,                 1.9286,              0.0083357,              0.0083357,              0.0083357
                     39,                 1.6436,                 1.6511,                 1.2549,                0.70881,                0.11905,                0.13347,                0.04932,                 2.4792,                 4.0797,                 1.9537,              0.0082853,              0.0082853,              0.0082853
                     40,                 1.7386,                 1.6746,                 1.2671,                0.56019,                0.09524,                0.05408,                0.02701,                 2.6326,                 7.3923,                 2.1418,              0.0082349,              0.0082349,              0.0082349
                     41,                 1.6463,                 1.6667,                 1.2979,                0.28162,                0.10714,                0.07721,                0.02862,                 3.2188,                 9.5567,                 2.3361,              0.0081845,              0.0081845,              0.0081845
                     42,                 1.6127,                  1.547,                 1.2533,                 0.4236,                0.10714,                0.07221,                0.02692,                 3.0686,                     10,                 2.5272,              0.0081342,              0.0081342,              0.0081342
                     43,                 1.6098,                  1.626,                 1.2047,                0.23079,                0.08333,                0.08784,                0.04318,                 2.8604,                 7.2456,                 2.4939,              0.0080838,              0.0080838,              0.0080838
                     44,                 1.5232,                 1.5561,                  1.174,                0.18126,                0.57143,                0.27604,                0.10661,                 1.9752,                 4.0674,                 1.7344,              0.0080334,              0.0080334,              0.0080334
                     45,                 1.6134,                 1.5726,                 1.1611,                0.37356,                 0.5369,                0.38324,                0.17923,                 1.6098,                 3.0642,                   1.44,               0.007983,               0.007983,               0.007983
                     46,                   1.53,                 1.4679,                 1.1497,                0.37129,                0.47876,                0.34469,                0.16694,                 1.6329,                 3.3401,                 1.5071,              0.0079326,              0.0079326,              0.0079326
                     47,                  1.501,                 1.4123,                 1.1417,                0.51683,                0.45238,                0.45687,                0.24635,                 1.5986,                 3.3472,                 1.5012,              0.0078822,              0.0078822,              0.0078822
                     48,                 1.6214,                 1.5198,                  1.141,                0.52632,                 0.4989,                 0.4513,                0.21214,                 1.7488,                 2.7701,                 1.4911,              0.0078318,              0.0078318,              0.0078318
                     49,                 1.5812,                 1.5478,                 1.1668,                0.38249,                0.65023,                0.40432,                0.19657,                 1.6441,                 2.6182,                 1.4209,              0.0077814,              0.0077814,              0.0077814
                     50,                  1.578,                 1.5368,                 1.1378,                0.24101,                0.58825,                0.37098,                0.18838,                 1.6057,                 2.6266,                 1.4685,              0.0077311,              0.0077311,              0.0077311
                     51,                 1.4818,                 1.4262,                 1.1472,                0.35755,                0.62025,                0.51379,                0.25621,                 1.6285,                 2.2216,                 1.5576,              0.0076807,              0.0076807,              0.0076807
                     52,                  1.479,                 1.4941,                  1.121,                 0.4979,                0.63064,                0.59395,                0.24888,                 1.7064,                  2.076,                 1.6459,              0.0076303,              0.0076303,              0.0076303
                     53,                 1.3623,                 1.3967,                 1.1184,                0.73206,                0.46429,                0.60033,                0.26717,                  1.772,                 1.7463,                 1.7374,              0.0075799,              0.0075799,              0.0075799
                     54,                 1.4176,                 1.3829,                 1.0977,                0.31874,                0.39286,                0.30015,                0.08995,                 2.5526,                 2.3284,                 2.9744,              0.0075295,              0.0075295,              0.0075295
                     55,                 1.3752,                 1.3481,                 1.0988,                0.46606,                0.17857,                 0.1608,                0.04746,                 3.2475,                 2.5236,                 4.2903,              0.0074791,              0.0074791,              0.0074791
                     56,                 1.4257,                 1.3843,                 1.1145,                  0.655,                0.12869,                0.10918,                0.01695,                 3.8165,                 3.7161,                   4.06,              0.0074287,              0.0074287,              0.0074287
                     57,                 1.4484,                 1.4809,                 1.1115,                0.18753,                0.26569,                0.16035,                0.02937,                 3.4735,                 3.0379,                 3.8011,              0.0073784,              0.0073784,              0.0073784
                     58,                 1.3851,                 1.3935,                 1.0744,                0.41754,                0.36886,                0.36097,                0.10922,                 2.6173,                  2.939,                 2.9902,               0.007328,               0.007328,               0.007328
                     59,                 1.3603,                 1.3913,                 1.0713,                0.47232,                0.63095,                0.53077,                0.17481,                 2.0373,                 2.3452,                 1.9325,              0.0072776,              0.0072776,              0.0072776
                     60,                 1.3361,                 1.3688,                 1.0681,                0.82975,                0.58057,                0.74237,                0.41415,                 1.5988,                 1.6848,                 1.2932,              0.0072272,              0.0072272,              0.0072272
                     61,                 1.4551,                 1.4373,                 1.1307,                0.83326,                0.57217,                0.72399,                0.43614,                 1.6118,                 1.6895,                 1.2487,              0.0071768,              0.0071768,              0.0071768
                     62,                 1.3228,                   1.29,                 1.0951,                0.83977,                0.51186,                0.65916,                0.40901,                 1.6775,                 1.6455,                 1.3205,              0.0071264,              0.0071264,              0.0071264
                     63,                 1.3596,                 1.3406,                 1.0982,                0.47581,                0.64286,                0.57616,                0.34298,                 1.5706,                 1.8863,                 1.2599,               0.007076,               0.007076,               0.007076
                     64,                 1.4634,                 1.4524,                 1.1463,                0.73338,                0.45902,                 0.5752,                0.33394,                 1.6517,                 1.9185,                 1.3686,              0.0070257,              0.0070257,              0.0070257
                     65,                 1.4183,                 1.3865,                 1.1266,                0.65774,                0.58333,                0.60094,                 0.3207,                 1.6597,                 1.7729,                 1.3435,              0.0069753,              0.0069753,              0.0069753
                     66,                 1.4297,                 1.3745,                 1.0954,                 0.5741,                0.55005,                0.54204,                0.31109,                 1.6489,                 1.8287,                 1.3128,              0.0069249,              0.0069249,              0.0069249
                     67,                 1.3573,                 1.3191,                 1.0987,                0.29032,                0.16667,                0.22911,                0.10259,                 2.4514,                 3.0204,                 2.4296,              0.0068745,              0.0068745,              0.0068745
                     68,                 1.3396,                 1.3331,                 1.0606,                0.26243,                0.21073,                0.08773,                0.01372,                 3.6742,                 3.7071,                 2.8864,              0.0068241,              0.0068241,              0.0068241
                     69,                 1.4649,                 1.3893,                 1.0983,                  0.596,                0.02381,                0.01885,                0.00294,                 3.7925,                 3.9752,                  3.257,              0.0067737,              0.0067737,              0.0067737
                     70,                 1.3673,                 1.3268,                 1.0614,                0.04903,                0.15476,                0.03307,                0.00802,                 3.6858,                 3.8555,                  3.345,              0.0067233,              0.0067233,              0.0067233
                     71,                 1.3316,                 1.2977,                 1.0413,                0.36018,                0.38095,                0.22611,                0.06559,                 2.7846,                 2.9953,                 2.6073,              0.0066729,              0.0066729,              0.0066729
                     72,                 1.4082,                 1.3667,                 1.1115,                0.64186,                0.38298,                0.44781,                0.24776,                 1.9138,                 2.1961,                 1.4398,              0.0066226,              0.0066226,              0.0066226
                     73,                 1.3481,                 1.3556,                 1.0845,                 0.7148,                0.52133,                0.56889,                0.34791,                 1.8266,                 2.0254,                 1.3588,              0.0065722,              0.0065722,              0.0065722
                     74,                 1.3878,                 1.3508,                 1.0672,                0.63819,                0.39286,                0.51305,                0.29849,                 1.8597,                 2.3554,                 1.4847,              0.0065218,              0.0065218,              0.0065218
                     75,                 1.3948,                 1.3618,                 1.0678,                0.45325,                0.40476,                0.36477,                0.17558,                  2.486,                 2.8878,                 2.2212,              0.0064714,              0.0064714,              0.0064714
                     76,                 1.4247,                 1.3834,                 1.1593,                0.62423,                0.35714,                0.33217,                0.10367,                 2.7586,                 2.6675,                 3.6685,               0.006421,               0.006421,               0.006421
                     77,                 1.4696,                 1.4364,                 1.0762,                0.49889,                    0.5,                0.45266,                0.20211,                 2.3446,                 2.3373,                 2.5145,              0.0063706,              0.0063706,              0.0063706
                     78,                 1.3893,                 1.3416,                 1.0875,                0.49187,                0.35714,                 0.4213,                0.23646,                 1.9539,                 2.0771,                 1.4993,              0.0063202,              0.0063202,              0.0063202
                     79,                 1.3503,                 1.2714,                 1.0665,                0.08014,                0.29762,                0.08051,                0.02976,                 2.6563,                 3.2169,                 1.8102,              0.0062699,              0.0062699,              0.0062699
                     80,                 1.3434,                 1.2814,                  1.059,                0.67858,                0.16667,                0.12028,                0.05435,                 2.4554,                  3.102,                 1.8708,              0.0062195,              0.0062195,              0.0062195
                     81,                 1.2612,                 1.2268,                 1.0516,                0.40984,                0.52381,                0.46099,                0.24433,                 1.4439,                 2.1031,                 1.2737,              0.0061691,              0.0061691,              0.0061691
                     82,                 1.2407,                 1.2528,                 1.0337,                0.74659,                0.67857,                0.69362,                0.42985,                   1.38,                 1.4745,                 1.1807,              0.0061187,              0.0061187,              0.0061187
                     83,                 1.2101,                 1.2002,                 1.0245,                0.76601,                0.64286,                0.71788,                0.46135,                 1.2734,                 1.3856,                 1.1702,              0.0060683,              0.0060683,              0.0060683
                     84,                 1.3094,                 1.2342,                 1.0398,                0.72758,                0.52381,                0.64652,                0.44729,                 1.3526,                 1.4557,                 1.2373,              0.0060179,              0.0060179,              0.0060179
                     85,                  1.309,                 1.3158,                 1.0385,                 0.5358,                 0.6399,                0.62839,                0.38631,                 1.4578,                  1.611,                 1.2332,              0.0059675,              0.0059675,              0.0059675
                     86,                 1.3635,                 1.3288,                 1.0585,                0.70981,                0.64286,                 0.6407,                0.42433,                 1.3513,                 1.4693,                 1.1421,              0.0059172,              0.0059172,              0.0059172
                     87,                 1.3044,                 1.2403,                 1.0295,                0.90047,                 0.4881,                0.69485,                0.45173,                 1.3681,                 1.4256,                 1.1616,              0.0058668,              0.0058668,              0.0058668
                     88,                 1.2619,                 1.2257,                 1.0307,                0.74506,                0.63494,                0.73492,                0.44305,                 1.3442,                 1.3212,                 1.1461,              0.0058164,              0.0058164,              0.0058164
                     89,                 1.2361,                 1.2157,                0.99597,                0.63985,                0.70238,                0.68991,                 0.4127,                  1.414,                 1.4667,                 1.1528,               0.005766,               0.005766,               0.005766
                     90,                 1.2726,                 1.2287,                 1.0194,                0.57905,                0.57982,                0.56565,                0.32306,                 1.5317,                 1.7642,                 1.1848,              0.0057156,              0.0057156,              0.0057156
                     91,                 1.2146,                 1.1949,                 1.0208,                0.58902,                0.36905,                0.47917,                0.26387,                 1.6897,                 2.0981,                 1.2828,              0.0056652,              0.0056652,              0.0056652
                     92,                 1.2432,                 1.1702,                 1.0131,                0.71079,                0.40037,                0.46705,                0.24652,                 1.7075,                 1.9821,                 1.2187,              0.0056148,              0.0056148,              0.0056148
                     93,                 1.1371,                 1.1261,                0.99876,                0.81956,                0.45959,                0.57021,                0.33318,                 1.5231,                 1.7025,                 1.1619,              0.0055644,              0.0055644,              0.0055644
                     94,                 1.2157,                 1.1383,                0.99038,                0.62275,                 0.6703,                 0.6538,                0.41579,                 1.3557,                 1.5096,                 1.1106,              0.0055141,              0.0055141,              0.0055141
                     95,                 1.1894,                 1.1259,                0.98236,                0.64275,                0.74516,                0.71439,                0.49573,                 1.2955,                 1.2928,                 1.0402,              0.0054637,              0.0054637,              0.0054637
                     96,                 1.1523,                 1.1149,                0.99029,                0.77031,                   0.75,                0.77578,                0.53348,                 1.1983,                 1.2282,                0.99506,              0.0054133,              0.0054133,              0.0054133
                     97,                 1.1108,                  1.076,                0.98848,                0.70971,                0.70473,                0.73709,                0.52594,                 1.2138,                  1.349,                  1.013,              0.0053629,              0.0053629,              0.0053629
                     98,                 1.1411,                 1.0801,                 1.0227,                0.65206,                 0.7228,                0.71572,                0.51695,                 1.1852,                 1.3145,                 1.0231,              0.0053125,              0.0053125,              0.0053125
                     99,                 1.1618,                   1.11,                0.97874,                0.65852,                0.71243,                0.73047,                0.52685,                 1.1927,                 1.3332,                 1.0689,              0.0052621,              0.0052621,              0.0052621
